Week,RelativeScore
1,-20.58982395
2,-16.21860432
3,13.11163551
4,0.287682072
5,-3.216726306
6,-0.054067221
7,-0.210721031
8,2.170458511
9,0
10,-0.339986056
11,-2.100732147
12,0.057158414
13,0.405465108
14,0
15,-0.057158414
16,1.438410362
17,1.345888946
18,-0.051293294
19,-1.438410362
20,0
21,2.195602912
22,1.073055946
23,-10.3890777
24,0.064538521
25,0.200166917
26,0.064538521
27,-3.714397757
28,-8.728823182
29,0
